state,year,race3,proportion
MI,1933,black,0.00160669788143454
MN,1933,black,8.79646539406304e-05
MO,1933,black,0.0018162704764717
MS,1933,black,0.00710776724788151
MT,1933,black,1.70759372350706e-05
NC,1933,black,0.00610655686456496
ND,1933,black,5.40465056957029e-06
NE,1933,black,9.43354446852841e-05
NH,1933,black,5.10630606270806e-06
NJ,1933,black,0.00177502357119454
NM,1933,black,3.86761156372081e-05
NV,1933,black,2.94523592644907e-06
NY,1933,black,0.00444666191326187
OH,1933,black,0.00264315204298246
OK,1933,black,0.00120261358334839
OR,1933,black,3.42816387631843e-05
PA,1933,black,0.00376708501810173
RI,1933,black,7.80656260614047e-05
SC,1933,black,0.00518297683097256
SD,1933,black,1.69197752828078e-06
TN,1933,black,0.00348091274183985
TX,1933,black,0.00652480349972621
UT,1933,black,8.01329132219265e-06
VA,1933,black,0.00451766801878894
VT,1933,black,1.13934580724058e-06
WA,1933,black,4.69177382053416e-05
WI,1933,black,9.07917167900458e-05
WV,1933,black,0.000826161658621821
WY,1933,black,5.62055854160929e-06
AK,1934,black,2.01297232618624e-05
AL,1934,black,0.00653707650111145
AR,1934,black,0.00329314443616181
AZ,1934,black,0.000137562630353455
CA,1934,black,0.00109331541644501
CO,1934,black,8.32229632886792e-05
CT,1934,black,0.000273763596249183
DC,1934,black,0.00153640306743837
DE,1934,black,0.00025051251717202
FL,1934,black,0.00371499525296362
GA,1934,black,0.00727962396380441
HI,1934,black,2.49456193335021e-05
IA,1934,black,0.000111459774197352
ID,1934,black,1.37114079732189e-05
IL,1934,black,0.00309592428572242
IN,1934,black,0.000895323014697659
KS,1934,black,0.000517710135951367
KY,1934,black,0.0015810317295818
LA,1934,black,0.00586578639375137
MA,1934,black,0.000458786455490937
MD,1934,black,0.00193850844964349
ME,1934,black,6.70109622804865e-06
MI,1934,black,0.00160277295801097
MN,1934,black,8.78517008966689e-05
MO,1934,black,0.00181472098748103
MS,1934,black,0.0071044403934992
MT,1934,black,1.71555091725318e-05
NC,1934,black,0.0061031908268183
ND,1934,black,5.38603214053788e-06
NE,1934,black,9.4454870575192e-05
NH,1934,black,5.13954860290853e-06
NJ,1934,black,0.0017740223311397
NM,1934,black,3.88275591761305e-05
NV,1934,black,2.90618135378708e-06
NY,1934,black,0.00444912284625929
OH,1934,black,0.00263941079405601
OK,1934,black,0.00120141853383126
OR,1934,black,3.41232583897155e-05
PA,1934,black,0.00376558475709391
RI,1934,black,7.79808004781199e-05
SC,1934,black,0.00518088973032146
SD,1934,black,1.71729303328798e-06
TN,1934,black,0.00347476859256896
TX,1934,black,0.00652072446497486
UT,1934,black,8.00536750649238e-06
VA,1934,black,0.00451677905515372
VT,1934,black,1.14527057558062e-06
WA,1934,black,4.65547463877247e-05
WI,1934,black,9.0776275581594e-05
WV,1934,black,0.000825135869604044
WY,1934,black,5.61998981062392e-06
AK,1935,black,2.08132591808518e-05
AL,1935,black,0.00653257286285484
AR,1935,black,0.00328964491991076
AZ,1935,black,0.000136946684672907
CA,1935,black,0.00108927550864893
CO,1935,black,8.30372098672798e-05
CT,1935,black,0.000273138084569044
DC,1935,black,0.00153640306743837
DE,1935,black,0.000250477234790198
FL,1935,black,0.00371319737579637
GA,1935,black,0.00727469559978933
HI,1935,black,2.5228354404279e-05
IA,1935,black,0.000111622373031831
ID,1935,black,1.37753686945365e-05
IL,1935,black,0.00309298907553994
IN,1935,black,0.000893534273770498
KS,1935,black,0.000517243632497433
KY,1935,black,0.00157592630751204
LA,1935,black,0.00586209602584342
MA,1935,black,0.000457803894045566
MD,1935,black,0.0019792163971286
ME,1935,black,6.69696974582102e-06
MI,1935,black,0.00159881210008186
MN,1935,black,8.77375736397062e-05
MO,1935,black,0.00181315720413386
MS,1935,black,0.0071011580890455
MT,1935,black,1.72341620767105e-05
NC,1935,black,0.00609979457875739
ND,1935,black,5.36785579399159e-06
NE,1935,black,9.45721040816446e-05
NH,1935,black,5.17191650729039e-06
NJ,1935,black,0.00177297117122335
NM,1935,black,3.89754293410416e-05
NV,1935,black,2.86842974481271e-06
NY,1935,black,0.00445162604754152
OH,1935,black,0.00263563261024188
OK,1935,black,0.00120021203332841
OR,1935,black,3.39622273304954e-05
PA,1935,black,0.00376403659130401
RI,1935,black,7.7895315085254e-05
SC,1935,black,0.00517879958963921
SD,1935,black,1.74195224311563e-06
TN,1935,black,0.00346854714209245
TX,1935,black,0.0065166571975321
UT,1935,black,7.99738684673956e-06
VA,1935,black,0.00451584302959933
VT,1935,black,1.15121152245133e-06
WA,1935,black,4.61924526590063e-05
WI,1935,black,9.07608067307264e-05
WV,1935,black,0.000824112939108039
WY,1935,black,5.61957159817063e-06
AK,1936,black,2.14967950998413e-05
AL,1936,black,0.00652797985475294
AR,1936,black,0.00328590306590511
AZ,1936,black,0.000136338278173749
CA,1936,black,0.00108522294744689
CO,1936,black,8.28534852469728e-05
CT,1936,black,0.00027249157657635
DC,1936,black,0.00153640306743837
DE,1936,black,0.000250436356105884
FL,1936,black,0.0037113773109623
GA,1936,black,0.00726991689424414
HI,1936,black,2.55110894750559e-05
IA,1936,black,0.000111783247767743
ID,1936,black,1.38381002859034e-05
IL,1936,black,0.00309003116647102
IN,1936,black,0.000891741408184649
KS,1936,black,0.000516776200738905
KY,1936,black,0.00157072357876381
LA,1936,black,0.00585827590791348
MA,1936,black,0.000456823006222759
MD,1936,black,0.00201421291729484
ME,1936,black,6.69276137103282e-06
MI,1936,black,0.00159481592031513
MN,1936,black,8.76222533359651e-05
MO,1936,black,0.00181157991030044
